incoming,your_reply
Okay,"But they will be in a group like Shashank,  Vikram and vivek and some people"
Tell them all whoever is interested can join. It's not just for the frontend we need right?,Yeah OK
"Have to start, will do tonight",Oh OK bro
"Owing other stadiums, meanwhile our stadium is owning us. 😭",Haha they will bounce back in the next game for sure.
If they can't win in homes then forget about playoffs. Chinnaswamy is a curse.,"Yeah true,  they will give a strong comeback for sure let's see"
"Next is Punjab, the team is full of salt like players.",Yeah saw their matches
"Yes, can win in their home but difficult in ours",Hmm
Anyway I stopped c++ and picked up python,OK that's nice.
Went through intro on mongoDB,Nice bro
For project?,When can we officially start our project
Java has inheritance like C++?,Yeah
I read somewhere it doesn't have like c++,Like the multi level inheritance is also supported in Java <This message was edited>
What about the interface?,"It will be there,  but I haven't gone through it still."
I have to learn Java too in the next sem 😶 Don't know how difficult it would be.,A bit difficult
Just to let you know along with your project I'm gonna work on another 2 projects too.,And python is also vast
I need python only for scripting not for programming,Nice bro. Your Linux ones?
One is Linux under that will do many projects another is based on the network's subject. Will do a network related project useful and related to my career.,OK bro nice
Haven't thought about what to do in the network yet. But I need python scripting for that. So learning that.,OK
"Not commands and also not code too as it doesn't come under coding but scripting. It's related to automation, but not complex like coding programs. <This message was edited>",OK any example on how to implement it
"#!/bin/bash  # Simple backup script  SOURCE=""$HOME/Documents"" DEST=""$HOME/Backup_$(date +%Y-%m-%d_%H-%M-%S)""  echo ""Starting backup of $SOURCE to $DEST""  # Create the destination directory mkdir -p ""$DEST""  # Copy files cp -r ""$SOURCE/""* ""$DEST/""  echo ""Backup completed successfully!""","Bro placements are nearing, I am fucking scared because I have to practice DSA too parallely with the project"
It automates jobs for us. Which is a huge concept in our field of work.,OK
Yes. True DSA means till which concepts you have to learn?,OK nice
You are taking AI so you need time to be good at it.,Yeah bro. Even I am also thinking of going off campus and on campus too.
Anyway I don't trust on campus coming to college would give any good.,Yeah really yes
"So don't stress out. Focus on the project, it will yield you a good job.",We have to build our github and linked in profile really solid and need to do lots and lots of networking in linked in.
What's your ideal role?,Are you asking Like a job role I am willing to go
Yes,Previously I had full stack engineer role in my mind and after understanding it a bit. Now I want to move myself up with AI/ML Engineer <This message was edited>
keep one as main thing other as backup. If it's AI then focus on the project more.,AI/ML will be my main focus
Okay.,Very much important as I have researched about it. And understanding the ML algorithms is very much important
"So, you want DSA too, but you can't prepare for both before placement. Anyway, do you think placement is going to give you AI related job? So, focus on off campus, take time to prepare and then go for off campus. They both are huge, can't do in a small period of time.",College placements won't hire for AI roles for sure. I have to go off campus
Oh!,Yeah bro this is right
Same as always.,OK
How hard other 4 modules are?,"As we have studied before,  we can easily manage"
okay.,Yeah module wise is there
Let me check,OK
<Media omitted>,Yeah bro
Okay.,OK bro
I have a fever so I'm not sure if I'm going tomorrow for the movie.,Oh suddenly
Yeah,OK bro
"HOD said they will give permission for work during college, but don't know about internships.",In last semester we have to work for 3-6
Only in last?,"Oh nice. If we get internship,  we can go work with permission I think"
What do we have in 3rd sem along with electives?,Yeah this is main and we can work in other semesters too
I'm planning to start in 3rd sem.,Just the specializations and some projects maybe
"Only 3 subjects, why waste going to college for that.",I am planning start applying from 2nd semester mid
For internships?,"Yeah,  anyways we work in company projects right"
Alright.,OK
Which role will you apply for internships?,Will you apply on Linux specific or
So probably only till 2nd semester we do projects.,Both ML and development roles
Okay.,Yeah I got to know
Alright.,Yeah OK bro
Tomorrow will you assemble and talk about the project?,"OK,  which role you are planning to him?"
At that time i will speak with him.,OK. You both will work on MongoDB right
Yes.,"I got stuck with some spring concepts,  I am sucking at it."
Implementing what?,Spring concepts according to the project
I meant which part of the project?,Java back-end
Alright.,OK bro
Difficulty in coding or coming up with how to do it?,Still there are lot to learn from my side
Alright.,OK
😅,"Bro now, you and Varun will take care of DB and I will handle Java. Backend is set now. Now,  only front-end guy needed"
Yes,Only one guy is enough or do we need 2 ? <This message was edited>
Need one more for Java and AI too,<Media omitted>
Depends on that individual how much he knows.,OK
If you are okay I'm okay.,Because to develop an API we need ML. But we are using existing APIs
Okay,After developing the initial things. We can do that. As NLP is very difficult to understand and implement because of advanced math
Oh,Yeah I am exploring
Who will do that? Are you alone enough for that? When do you expect to finish with that?,I am planning to use Googls's text to speech API as it does the same thing
I want to know how to work with api so tell me about it when you do,Later when I start Ai/Ml I will understand and do those concepts
Okay,OK bro
Like a diagram or flow chart.,Yeah sure I will prepare and send by today
okay,<Media omitted>
I have doubts about the database design. I will confirm it with you tomorrow.,Yeah OK
